Zone_name,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,Line_Max_Flow_MW,transmission_path_name,distance_km,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,bus0,bus1,bus0_x,bus0_y,bus1_x,bus1_y
DE1 2,z13,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3964.4345738917345,DE1 11_to_FR1 17,91.499464775641,0.005718716548477562,3964.4345738917345,4346.642677864944,0.95,0,0,DE1 11,FR1 17,8.05974729506191,47.888021872066325,7.098681162538576,48.02632462435081
DE1 3,z14,14,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.3436564367385,DE1 12_to_DE1 19,223.27805713822065,0.013954878571138791,2377.3436564367385,10606.72796903755,0.95,0,0,DE1 12,DE1 19,9.580929922241054,48.46048443999676,10.723084073001646,49.88281742234528
DE1 4,z15,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551.525491346732,DE1 12_to_DE1 4,168.4000708436932,0.010525004427730824,5551.525491346732,7999.77285855713,0.95,0,0,DE1 12,DE1 4,9.580929922241054,48.46048443999676,11.399736085399406,48.35883243095018
DE1 5,z16,16,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.3436564367385,DE1 13_to_DE1 14,341.2673079559072,0.021329206747244197,2377.3436564367385,16211.756527302963,0.95,0,0,DE1 13,DE1 14,12.50484475,48.817594875,11.750300384615384,51.22456746153846
DE1 6,z17,17,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796.8381784732558,DE1 13_to_DE1 19,218.9607841598671,0.013685049009991694,796.8381784732558,10401.637775059717,0.95,0,0,DE1 13,DE1 19,12.50484475,48.817594875,10.723084073001646,49.88281742234528
DE1 7,z18,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362.853663128363,DE1 13_to_DE1 4,119.95314374032289,0.00749707148377018,4362.853663128363,5698.322445975238,0.95,0,0,DE1 13,DE1 4,12.50484475,48.817594875,11.399736085399406,48.35883243095018
DE1 8,z19,19,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.3436564367385,DE1 14_to_DE1 15,183.6383195155129,0.011477394969719557,2377.3436564367385,8723.659300682893,0.95,0,0,DE1 14,DE1 15,11.750300384615384,51.22456746153846,10.358713631896448,52.22589869741621
DE1 9,z20,20,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3174.1818349099944,DE1 14_to_DE1 17,361.8439803613993,0.022615248772587457,3174.1818349099944,17189.242490368055,0.95,0,0,DE1 14,DE1 17,11.750300384615384,51.22456746153846,12.626970151251394,53.77264364752804
ES1 0,z21,21,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10698.046453965326,DE1 14_to_DE1 19,207.3815449374159,0.012961346558588493,10698.046453965326,9851.571001391403,0.95,0,0,DE1 14,DE1 19,11.750300384615384,51.22456746153846,10.723084073001646,49.88281742234528
ES1 1,z22,22,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7132.030969310214,DE1 14_to_DE1 3,239.4673588320574,0.014966709927003587,7132.030969310214,11375.793775485809,0.95,0,0,DE1 14,DE1 3,11.750300384615384,51.22456746153846,13.553525737215796,52.53973417915259
