,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76
z11,189.2824819585038,340.9171857282834,413.16756736650143,238.3636069043101,323.7580889602589,624.728299043096,556.6981683433775,465.9164699450668,329.42313591934277,769.0945251423034,0.0,418.5671046759804,199.60341243295798,794.1866230712301,516.4384572466798,534.8951050362539,758.4966509180822,187.51422967022793,157.18215098014022,317.06455992223385,1637.3624848572922,1294.1888863358317,1946.7944130748033,1537.2061423416146,1077.4375037982147,1592.414027077688,1342.2832557497795,1826.9905506434286,1854.7014332577776,1210.435990192506,637.3949538014872,476.065959541963,329.44146977314665,917.9107065342143,696.5010861059435,1147.403630329252,714.5455205716803,409.4430353977957,468.8738675065144,190.26476870652976,738.6922416040813,946.3578595105813,512.0086402330704,147.9868140510868,663.1546788697977,903.1954184100573,516.304862721131,1072.4493531329658,693.0500190547416,1031.6405711055977,923.2148815736149,1262.2934123036507,1258.9525615038488,1494.2310394575059,1345.8104116705324,827.9138132647882,1139.4416510604756,1360.4298077087165,1159.3217744385952,728.3185464476246,949.3226498228711,1054.5065460301887,1551.449138073917,1560.1997640664529,551.084678412241,772.0353985980003,795.6705734077082,1072.665200946013,778.0280518727149,1036.8873717576278,514.9512545767648,1253.5046399000998,1496.9376782486074,1554.9358654637604,626.9982738864782,1094.9772088076925
z12,248.17550147109444,167.0593411399422,441.8466380192144,368.21948370293836,200.9102187167173,229.5924641755383,185.63424951466615,259.32593849973466,483.3476401638034,473.51605941018926,418.5671046759804,0.0,376.0663942092728,427.15227699354926,182.53818133276334,441.87739237346386,352.4418202380063,235.4150132650207,460.0487437991526,322.6052985868639,2010.0395279032275,1602.4095466048125,2265.6738303699085,1820.2192167982848,1364.664985397444,1929.9048763222333,1707.0843083142563,2216.9322492719507,2205.441985211975,1434.2890588566313,1013.1838149783575,702.4162210933803,747.7619028092479,1300.6901511465073,1028.4189423847445,1564.1631766099981,1131.8993904708673,802.6288568093456,773.3158184975393,451.6622546366185,1016.1452537184798,1357.4241974776057,925.593108528427,541.3474044704257,832.8990435956648,1222.7179508270137,931.6703914511035,1424.995392808322,920.5016046203622,1433.575963589387,1305.899277216034,1663.2303219503265,1675.0120053561195,1858.93314701873,1684.99526899976,1234.741758991825,1532.2439900250497,1730.602271652779,1571.2911008454062,1133.9166309856607,1361.0413729706916,1433.2252151333685,1943.9629458747545,1325.037861158641,529.1979406143346,656.6187412990473,588.8947135731723,852.3208971831144,493.21339056258904,874.9743955772005,612.0891468586017,1032.7242139483199,1221.6353991732951,1386.4553904228633,464.6875581767793,1108.5052353771705
z13,258.56258465546193,231.9066869704444,213.57063902150202,388.8789135708846,385.4118014729436,605.3348956798592,451.88436791390814,310.33018584019777,147.47624247103454,607.305306518901,199.60341243295798,376.0663942092728,0.0,663.7954905921755,530.3174518044433,340.36975671355657,662.3668228358993,177.97487746494346,104.42558234271233,132.79671316229064,1806.720124155884,1487.5140819314709,2135.6364446837033,1733.5343652391514,1274.6476978242458,1777.2417075977598,1517.6487150115518,1983.1711675717318,2033.7301235481957,1409.9618521930308,815.7606871983547,672.1653181181941,447.2875658426615,1087.0353643859448,889.3824916191542,1265.3217056569304,836.540969089505,583.6255271391362,667.9315568622559,377.65218762857955,937.8712977678857,1083.3805846242328,593.3641575082189,339.75312298104734,855.2897920901127,1096.6297260288939,653.0610039569532,1255.2453524744444,891.5768175393804,1074.1310881957284,935.6984595053362,1301.360215904533,1336.8224064758142,1483.2589971094621,1309.622030829147,882.8771214024127,1165.4620223511117,1355.7047739641835,1223.7303877874854,782.1155694918895,1015.1241044767999,1060.9971137787522,1575.4280355933508,1648.8029203004935,692.900625622934,894.3957891427834,884.1952892607895,1162.3832069299706,830.6904341096605,1149.680505694706,688.2662535584582,1345.6930526986748,1565.1477149096866,1671.8611775588154,724.9923028505044,1263.3833845187385
z14,659.8649873778826,453.7279924432408,572.5943137955616,794.4123106159782,626.5056852282029,419.7408054449085,246.0942848960305,356.8835926856665,686.3467866696548,168.65617308444354,794.1866230712301,427.15227699354926,663.7954905921755,0.0,513.1902503230602,453.68042293392386,150.79080318676776,611.2478940164049,767.9920800918193,540.656070311807,2423.619254512602,2029.1413840737794,2692.248201978689,2247.084010388614,1791.814956619056,2353.9024654574955,2123.4060542350735,2620.322379399402,2627.003047085573,1856.1975340030192,1422.3173367917875,1129.516438375436,1104.4215682042372,1707.5974423354908,1450.566515410505,1927.218960437193,1496.0438618896146,1200.9356917961186,1197.154443064585,871.0066614449477,1443.2281051139087,1736.9901601732035,1257.0690632222577,935.4329705995119,1253.9577807316596,1647.689787198603,1304.9028340289715,1844.4722250514985,1346.4664586394883,1719.6594131528448,1562.8075325005932,1940.8974256295232,1996.6224704328756,2066.809048777662,1862.5298720631274,1537.9279855007014,1797.3327432576302,1951.0958213050296,1879.0916817012987,1438.2915611774629,1672.8373283175579,1678.254855780208,2197.708760239724,1480.518987010155,924.3832416704914,991.3074573296874,870.6649352371003,1073.8727440991008,722.3635655615747,1146.9923456711917,1029.286605155667,1231.055959821825,1334.7612389054375,1607.6755202817724,807.808670111883,1471.4921205989017
z15,327.16118250548914,346.20339284960494,622.3211206623027,374.95650996169945,202.54743275709535,132.62988289895353,314.59758753011397,437.84023458525104,652.856987150547,604.3899099710774,516.4384572466798,182.53818133276334,530.3174518044433,513.1902503230602,0.0,622.7277762204325,392.13345629466585,362.45383202369464,598.3234694736224,498.7370230024216,2011.977763596707,1565.1348280724476,2226.545227833803,1765.5620756437881,1320.9012700255048,1906.0855738418422,1705.8450366208542,2233.873188530845,2188.21264161808,1358.04936790797,1035.8006387141545,665.9211482847803,837.9132242611053,1321.276674728992,1021.0599990247366,1629.1545651192616,1203.4310560163742,848.3781792150844,766.4805496552791,479.6456730478706,979.7483423911352,1410.5686323260431,1026.4250572527326,607.334661731507,759.174499988856,1200.932067544151,1000.6259845856907,1419.2372549982379,865.698029812937,1548.0788482744392,1435.0166418654026,1778.7313566288299,1767.5053791217617,1999.261362488392,1835.6474774620556,1344.0613485629342,1654.8089135928697,1867.8786132932971,1672.8957576357227,1244.6911346497043,1463.491256813532,1565.064131180732,2067.0730010766915,1143.2099936661903,412.9989166754157,494.4346691265358,409.8305072415218,669.9101957594195,311.587894705893,697.2430119609219,532.2310601121044,850.1863837613467,1043.6080868220524,1205.1615166971624,303.34834076399807,964.7383026294353
z16,512.5712037040878,299.3847480161783,149.59018660655545,670.3890573216656,582.3901370077981,626.5613244622236,362.90288468314003,186.4804479048124,278.88066580200586,330.3444110416956,534.8951050362539,441.87739237346386,340.36975671355657,453.68042293392386,622.7277762204325,0.0,527.3318690962055,421.651087604429,430.0501050009982,219.58674338577666,2138.534334873283,1827.5383948748643,2475.8679405168546,2072.067809258658,1612.3107896886625,2116.6559585381706,1853.4117293613763,2305.064830228339,2370.706637427864,1737.1468583747774,1154.307483798725,990.5452979553694,767.2830415604029,1420.8265278506153,1229.385231569425,1559.5318776997901,1143.0243730168636,922.0326327398272,1002.7253453666107,693.065014916406,1271.8349011332427,1396.3554625599709,880.2702596557639,679.245694376827,1162.2975406784,1436.5553055308476,974.3224897384728,1594.3728801976204,1214.577929465993,1294.4334978712945,1126.7561764711543,1508.6064388685463,1589.0139438959225,1614.8549382738033,1408.8943676404656,1126.7764491280095,1361.339362196051,1501.334921638195,1463.884836439169,1030.9348692011417,1264.2444999578886,1236.4261418493722,1754.5429839505011,1757.049474967624,931.1216244324027,1090.4371445267143,1030.7719810441886,1291.7888799419945,928.3107040568782,1316.575266351723,969.3440911932893,1470.4558344696602,1641.61093821679,1827.8657493089952,900.9112820103289,1518.455226057086
z17,599.8083879570311,433.3778266182447,619.2796001146164,715.4344760959341,538.0535323197357,282.2453304249558,210.48308084201173,383.4296689472613,716.3158662894417,305.838369179028,758.4966509180822,352.4418202380063,662.3668228358993,150.79080318676776,392.13345629466585,527.3318690962055,0.0,570.9847773871463,762.7631557482678,555.4294215975616,2361.8963095304844,1942.7272301031826,2605.882540358237,2151.380515707804,1701.3430962976652,2276.0326145836243,2058.3892830217264,2569.2808988053575,2553.817597434449,1749.1336913292484,1365.619291163964,1039.7435307500232,1082.5124398986252,1653.0986323355485,1377.597225339181,1905.1475993961797,1472.1414961196858,1153.415753177557,1121.637511269866,803.5800958531637,1355.3688282179749,1704.05158033356,1249.1844695833227,890.0138837174004,1148.5560042724674,1568.391798019409,1274.8014284569078,1775.270569947073,1249.5215590024625,1735.5005551867444,1589.7831112207186,1961.370691682416,1997.1961371377768,2115.140906099363,1920.4565929577675,1545.2073983855266,1822.4058245596252,1994.2867262658,1885.890994924363,1444.3901627179337,1676.8896556702425,1710.6561054896108,2229.0673051067092,1332.163408846931,804.5602990396602,852.3336217098936,725.2419221075006,923.2610237060732,574.0957712594414,998.5074249481897,921.8013713086197,1080.38463836902,1189.458642924056,1456.9156396974515,673.8850450338313,1334.9836978759731
z18,93.29295400198876,164.28189593449233,341.9053876476931,248.8358403035565,207.66130554919042,453.9927809021148,370.49949232423717,305.0152346539325,319.4749061708536,601.5873394057168,187.51422967022793,235.4150132650207,177.97487746494346,611.2478940164049,362.45383202369464,421.651087604429,570.9847773871463,0.0,235.88557733038684,212.7180898952428,1813.7185394945197,1444.3297988864513,2103.3371422745945,1677.8719462235404,1217.2401402152664,1755.4908258921241,1515.276401891206,2009.2340699271288,2023.3745262879966,1323.435693718243,812.0608172187159,574.6776061734082,514.248183752985,1096.5233504094654,852.4941120613929,1334.6923123271151,901.7411600938227,589.7627779086127,607.4323783740638,282.03875536093994,870.1737806620698,1133.5315209081477,690.2068635777179,324.23884821662455,741.2369083122092,1055.699589487453,703.8173052216247,1239.8640345612137,799.8895872932611,1199.8911379167935,1077.3055597797306,1429.9505200119836,1439.7463150742876,1637.7585837054985,1473.3601600656277,999.952979670372,1301.036324377385,1507.169246608256,1335.9597277272583,899.2501306066828,1125.7018567136147,1206.2074239046387,1713.2425720303067,1470.881827488683,530.0565486964109,721.4577832047923,706.2949948893342,984.412984824426,655.3391589113145,973.6536634182474,549.5546103552809,1167.7266809363866,1388.8319455465607,1495.7476568926197,548.2001176910074,1111.466374191541
z19,292.00302918109776,329.77840286567834,289.7968182588876,387.44301990631845,430.0358113638232,686.0418554901086,552.4950289801146,414.7008714733057,182.93370708291678,710.2870843569192,157.18215098014022,460.0487437991526,104.42558234271233,767.9920800918193,598.3234694736224,430.0501050009982,762.7631557482678,235.88557733038684,0.0,235.04349600174191,1709.6750708571096,1406.5652185164759,2049.1325802087135,1656.800744344106,1200.5986837782307,1687.961072654869,1423.3854735831073,1882.3004501094206,1940.6765760818582,1349.3942241393088,725.2118649729625,627.1342084274527,344.42671628298393,991.0951050907862,809.8584571293513,1160.9232229727936,732.5039185705009,493.17509170653926,602.7474610830031,347.36561873159394,871.4765731284707,980.2630418495413,489.5122877295945,269.58899555372227,816.8910636350636,1016.8457612042315,551.0569637590746,1165.523086012237,838.6028986898889,977.4580942867185,845.8505567687853,1205.9772543209099,1234.7636975404541,1402.451962061811,1237.8064771316026,783.2330482980975,1072.848481304605,1272.517356114337,1123.3885666419967,682.2624220336437,914.1624126674781,973.4092210855074,1484.2069350692257,1690.4856385660248,700.587572187806,915.328110037137,923.6085426928729,1202.3911746690455,886.4895221323071,1177.1248796794562,671.8976002307337,1384.9304981222656,1616.6866521996992,1697.8541120355983,758.4422301452641,1251.84297563648
z20,305.9932975874185,156.0270997457527,132.47906579277978,459.4667096210068,401.41715128185933,546.8114347366298,347.8844230063934,183.84018130043341,166.7941886673353,475.243697823914,317.06455992223385,322.6052985868639,132.79671316229064,540.656070311807,498.7370230024216,219.58674338577666,555.4294215975616,212.7180898952428,235.04349600174191,0.0,1938.9643017502356,1611.1872182470079,2262.527604936402,1853.879922211379,1393.747554205028,1905.9672811110718,1648.9436588876954,2115.9471288762666,2164.361534179285,1517.8625569324988,945.9091420965393,772.1706497279188,579.3307872383554,1219.0701851337108,1013.3165419492493,1394.3302372477926,967.2172284293807,714.183250516732,783.5557005794165,474.4246447404701,1052.4148608627117,1215.2892589397916,718.8358608407061,463.3563356517054,946.9055308419771,1220.1673603490588,785.5451477748757,1384.52045071364,995.672107300436,1183.113078310025,1034.3839198987193,1407.370676441646,1455.9849085140877,1565.5017098495975,1379.706914079393,997.9386427748819,1267.2722642815895,1442.0467824272325,1339.2328767172557,897.9928668075864,1132.3853802481456,1155.47311543873,1673.6564643304926,1639.5373612369335,739.9493288986646,920.7442825904953,886.1344363388763,1159.3665920704768,809.6054395953797,1163.8677915727656,761.4845717320592,1341.9534507251421,1542.2060103685867,1683.7554680998337,738.8766665467788,1323.5615554262622
