Resource,Zone,THERM,STOR,HYDRO,FLEX,MUST_RUN,VRE,LDS,Num_VRE_Bins,CapRes_1,ESR_1,ESR_2,Resource_Type,region,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,cluster,MGA,R_ID,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Self_Disch,Eff_Up,Eff_Down
DE1 14 onwind,7,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 14,3912.74479,0,0,1,0,35606.93959,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,1,0,0,0,0
DE1 14 ror,7,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 14,25.30822,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,1,0,0,0,0
DE1 14 solar,7,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 14,3191.303605,0,0,1,0,29485.55559,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1,1,0,0,0,0
DE1 15 CCGT,8,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 15,207,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 15 OCGT,8,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 15,137.51,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 15 biomass,8,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 15,13,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 15 coal,8,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 15,1451.12877,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
DE1 15 lignite,8,1,0,0,0,0,0,0,0,0,0,0,lignite,DE1 15,352,0,0,0,0,-1,0,0,0,0,75785.23399,30000,0,0,0,0,7,0,10.07533918,lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,650,3581,4.00307692,3,1,0.3,0.3,0.45,0,0,0
DE1 15 onwind,8,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 15,1810.05985,0,0,1,0,19520.58181,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,1,0,0,0,0
DE1 15 ror,8,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 15,45.9434,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,1,0,0,0,0
DE1 15 solar,8,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 15,1271.001657,0,0,1,0,20052.78375,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,1,1,0,0,0,0
DE1 16 CCGT,9,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 16,1820,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 16 OCGT,9,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 16,103.4,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 16 biomass,9,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 16,30.6,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 16 coal,9,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 16,772.5831696,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
DE1 16 nuclear,9,1,0,0,0,0,0,0,0,0,0,0,nuclear,DE1 16,1336,0,0,1,0,-1,0,0,0,0,276194,128794,0,0,0,0,2.65,0,10.44,uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1000,1000,0,22,6,0.25,0.25,0.5,0,0,0
DE1 16 offwind-dc,9,0,0,0,0,0,1,0,1,0,0,0,offwind-dc,DE1 16,0,0,0,1,0,38583.25362,0,0,0,0,111612.0913,44484.1454,0,0,0,0,2.7,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1,1,0,0,0,0
DE1 16 onwind,9,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 16,3100.0548,0,0,1,0,12056.41019,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,1,1,0,0,0,0
DE1 16 solar,9,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 16,1402.125944,0,0,1,0,10774.0848,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,1,0,0,0,0
DE1 17 CCGT,10,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 17,183,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 17 OCGT,10,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 17,148.9,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 17 biomass,10,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 17,167.3,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 17 coal,10,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 17,509.831137,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
DE1 17 offwind-ac,10,0,0,0,0,0,1,0,1,0,0,0,offwind-ac,DE1 17,313.75,0,0,1,0,10263.04556,0,0,0,0,111612.0913,44484.1454,0,0,0,0,2.7,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,1,0,0,0,0
